Transect,PlotC,PlotR,PlotCGraph,PlotR1,Depth,Depth Segment,Sample ID1,Sample ID2,Bag Wt,WetWtWBag,WetWt,DryWtWBag,DryWt,Seg.Vol.cm3,Core.Area.cm2,Moisture.perc,BD.g.cm3,Crucible.ID,Crucible.Wt,PreWt,Post.Wt wC,PostWt,OM.perc,Tcperc,TOCperc,TICperc,TOC.g.cm3,TC.seg,TOC.seg,TCkg.seg,TOCkg.seg,TCkg/m2,TOC/kg/m2,Sample ID1
SB3,-4,-4,-4,-4,0-15,A,SB3.-4,SB3.-4.A,2.74,133.25,130.51,69.1,66.36,277.5,18.5,49.15332158,0.717405405,,,,,,,5.107,4.548,0.559,3.262759782,10.1670156,9.0541584,0.010167016,0.009054158,5.495683696,4.894139309,SB3.-4
SB3,-4,-4,-4,-4,15-30,B,SB3.-4,SB3.-4.B,2.79,141.67,138.88,64.85,62.06,277.5,18.5,55.31394009,0.670918919,,,,,,,8.523,8.29,0.233,5.561917839,15.8681214,15.434322,0.015868121,0.015434322,8.577362276,8.342876131,SB3.-4
SB3,-4,-4,-4,-4,30-50,C,SB3.-4,SB3.-4.C,2.77,115.54,112.77,46.03,43.26,370,18.5,61.63873371,0.467675676,,,,,,,13.004,6.134,6.87,2.868722597,22.5021216,10.6142736,0.022502122,0.010614274,12.16330806,5.737444759,SB3.-4
SB3,-4,-4,-4,-4,50-100,D,SB3.-4,SB3.-4.D,2.74,99.53,96.79,37.93,35.19,925,18.5,63.64293832,0.380432432,,,,,,,9.006,7.78,1.226,2.959764321,31.692114,27.37782,0.031692114,0.02737782,17.13087115,14.79882051,SB3.-4
SB3,-2,-2,-2,-2,0-15,A,SB3.-2,SB3.-2.A,2.75,139.08,136.33,77.14,74.39,277.5,18.5,45.43387369,0.804216216,,,,,,,4.855,4.744,0.111,3.815201729,10.8349035,10.5871848,0.010834904,0.010587185,5.856704155,5.722802165,SB3.-2
SB3,-2,-2,-2,-2,15-30,B,SB3.-2,SB3.-2.B,2.71,133.65,130.94,70.03,67.32,277.5,18.5,48.58713915,0.727783784,,,,,,,6.355,6.04,0.315,4.395814055,12.834558,12.198384,0.012834558,0.012198384,6.937598399,6.593720587,SB3.-2
SB3,-2,-2,-2,-2,30-50,C,SB3.-2,SB3.-2.C,2.72,103.05,100.33,37.7,34.98,370,18.5,65.13505432,0.378162162,,,,,,,14.796,13.561,1.235,5.128257079,20.7025632,18.9745512,0.020702563,0.018974551,11.19057386,10.25651339,SB3.-2
SB3,-2,-2,-2,-2,50-100,D,SB3.-2,SB3.-2.D,2.71,114.74,112.03,50.33,47.62,925,18.5,57.49352852,0.514810811,,,,,,,7.9,7.049,0.851,3.628901407,37.6198,33.567338,0.0376198,0.033567338,20.3350255,18.14450567,SB3.-2
SB3,-1,-1,-1,-1,0-15,A,SB3.-1,SB3.-1.A,2.61,122.79,120.18,50.41,47.8,277.5,18.5,60.22632718,0.516756757,,,,,,,9.498,9.192,0.306,4.75002811,13.620132,13.181328,0.013620132,0.013181328,7.362232961,7.125041628,SB3.-1
SB3,-1,-1,-1,-1,15-30,B,SB3.-1,SB3.-1.B,2.65,127.07,124.42,55.96,53.31,277.5,18.5,57.15319081,0.576324324,,,,,,,8.974,8.756,0.218,5.046295781,14.3521182,14.0034708,0.014352118,0.014003471,7.757901148,7.569443108,SB3.-1
